"GeneID","SeqID","CMSVM._Localization","CMSVM._Details","CytoSVM._Localization","CytoSVM._Details","ECSVM._Localization","ECSVM._Details","ModHMM._Localization","ModHMM._Details","Motif._Localization","Motif._Details","OMPMotif._Localization","OMPMotif._Details","OMSVM._Localization","OMSVM._Details","PPSVM._Localization","PPSVM._Details","Profile._Localization","Profile._Details","SCL.BLAST._Localization","SCL.BLAST._Details","SCL.BLASTe._Localization","SCL.BLASTe._Details","Signal._Localization","Signal._Details","Cytoplasmic_Score","CytoplasmicMembrane_Score","Periplasmic_Score","OuterMembrane_Score","Extracellular_Score","Final_Localization","Final_Localization_Details","Final_Score","Secondary_Localization","PSortb_Version","System","Process","Pathway","Protein"
"sll6010","sll6010 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Non-Cytoplasmic","Signal peptide detected",0,2.5,2.5,2.5,2.5,"Unknown","",2.5,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll6017","sll6017 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll6036","sll6036 chromosome partitioning protein, ParA family","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Other categories","Other","chromosome partitioning protein, ParA family"
"sll6052","sll6052 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll6053","sll6053 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 16128794: molybdopterin synthase sulfurylase [Escherichia coli K12]","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll6054","sll6054 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll6055","sll6055 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll6059","sll6059 putative integrase/recombinase","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Other categories","Transposon-related functions","putative integrase/recombinase"
"sll6060","sll6060 probable acetyltransferase","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Other categories","Other","probable acetyltransferase"
"sll6069","sll6069 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Non-Cytoplasmic","Signal peptide detected",0,2.5,2.5,2.5,2.5,"Unknown","",2.5,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll6076","sll6076 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll6093","sll6093 chromosome partitioning protein, ParA family","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Other categories","Other","chromosome partitioning protein, ParA family"
"sll6098","sll6098 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 15595771: hypothetical protein[Pseudomonas aeruginosa PAO1]","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll6109","sll6109 putative integrase/recombinase","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Other categories","Transposon-related functions","putative integrase/recombinase"
"sll7001","sll7001 putative transposase [ISY391e(partial copy): 166 - 1298]","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Other categories","Transposon-related functions","putative transposase [ISY391e(partial copy): 166 - 1298]"
"sll7002","sll7002 putative transposase [ISY391e(partial copy): 166 - 1298]","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Other categories","Transposon-related functions","putative transposase [ISY391e(partial copy): 166 - 1298]"
"sll7003","sll7003 plasmid stability protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Other categories","Other","plasmid stability protein"
"sll7006","sll7006 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7009","sll7009 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7027","sll7027 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","1 internal helix found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7028","sll7028 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7029","sll7029 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7030","sll7030 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7031","sll7031 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7033","sll7033 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7034","sll7034 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7043","sll7043 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7044","sll7044 plasmid partition protein ParA homolog","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Other categories","Other","plasmid partition protein ParA homolog"
"sll7047","sll7047 hypothetical protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"CytoplasmicMembrane","6 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0,10,0,0,0,"CytoplasmicMembrane","",10,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7050","sll7050 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7055","sll7055 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7056","sll7056 unknown protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0.04,9.82,0.12,0.01,0.01,"CytoplasmicMembrane","",9.82,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7062","sll7062 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7063","sll7063 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","OuterMembrane",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",5.48,0.1,0.48,1.93,2.01,"Unknown"," (This protein may have multiple localization sites.)",5.48,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7064","sll7064 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7065","sll7065 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7066","sll7066 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","OuterMembrane",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0.03,0.01,0.09,9.49,0.38,"OuterMembrane","",9.49,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7067","sll7067 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7069","sll7069 hypothetical protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"Unknown","2 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0.04,9.82,0.12,0.01,0.01,"CytoplasmicMembrane","",9.82,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7070","sll7070 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","2 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7075","sll7075 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7077","sll7077 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll7078","sll7078 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7085","sll7085 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7086","sll7086 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7087","sll7087 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7089","sll7089 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7090","sll7090 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll7103","sll7103 exodeoxyribonuclease V, alpha chain","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"DNA replication, restriction, modification, recombination, and repair","","exodeoxyribonuclease V, alpha chain"
"sll7106","sll7106 exodeoxyribonuclease V, alpha chain","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"DNA replication, restriction, modification, recombination, and repair","","exodeoxyribonuclease V, alpha chain"
"sll8001","sll8001 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 15596943: hypothetical protein[Pseudomonas aeruginosa PAO1]","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll8002","sll8002 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll8004","sll8004 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll8006","sll8006 type I restriction-modification system, S subunit","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Cytoplasmic","matched 15597930: hypothetical protein[Pseudomonas aeruginosa PAO1]","Unknown","No matches against database","Unknown","No signal peptide detected",9.97,0.01,0.01,0,0,"Cytoplasmic","",9.97,"","PSORTb version 3.0",NA,"DNA replication, restriction, modification, recombination, and repair","","type I restriction-modification system, S subunit"
"sll8007","sll8007 unknown protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll8009","sll8009 type I restriction-modification system, M subunit","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"DNA replication, restriction, modification, recombination, and repair","","type I restriction-modification system, M subunit"
"sll8011","sll8011 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll8012","sll8012 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll8017","sll8017 unknown protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Unknown","","unknown protein"
"sll8018","sll8018 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll8019","sll8019 hypothetical protein","Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",2,2,2,2,2,"Unknown","",2,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll8020","sll8020 hypothetical protein","Unknown",NA,"Cytoplasmic",NA,"Unknown",NA,"Unknown","No internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",8.96,0.51,0.26,0.01,0.26,"Cytoplasmic","",8.96,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
"sll8025","sll8025 hypothetical protein","CytoplasmicMembrane",NA,"Unknown",NA,"Unknown",NA,"CytoplasmicMembrane","4 internal helices found","Unknown","No motifs found","Unknown","No motifs found","Unknown",NA,"Unknown",NA,"Unknown","No matches to profiles found","Unknown","No matches against database","Unknown","No matches against database","Unknown","No signal peptide detected",0,10,0,0,0,"CytoplasmicMembrane","",10,"","PSORTb version 3.0",NA,"Hypothetical","","hypothetical protein"
