protein,f_value,p_value,q_value,process
slr0374,10.534858323506732,0.0002875103217021795,0.0012652268100143231,Hypothetical
sll1033,10.508815037302904,0.00029131175834160283,0.0012771050197196154,Other categories
slr0479,10.50386640135025,0.00029204050271724536,0.0012771050197196154,Hypothetical
sll0258,10.459567228989233,0.00029865674513367146,0.0013019567483170992,Photosynthesis and respiration
sll1772,10.416549413608141,0.0003052443402240607,0.0013265291420952172,"DNA replication, restriction, modification, recombination, and repair"
slr0304,10.383370094705443,0.00031043767992350584,0.0013449085822773,Hypothetical
sll1427,10.368778002437212,0.000312753275480649,0.0013507455705743204,Translation
slr1501,10.339344735063037,0.0003174836980002771,0.001366943699723415,Other categories
sll0271,10.313472765845138,0.00032170868376421,0.0013808726580033016,Transcription
sll0080,10.27609132101525,0.00032792602728549654,0.0013993831895289467,Amino acid biosynthesis
sll1173,10.275488141913607,0.0003280274573304413,0.0013993831895289467,Hypothetical
slr0638,10.244730864079296,0.00033324692837877705,0.0014173154423426644,Translation
sll0038,10.212314412422355,0.00033884989659132214,0.0014316744182667587,Regulatory functions
slr0009,10.211456217018386,0.00033899967119712873,0.0014316744182667587,Photosynthesis and respiration
slr1811,10.207437883431588,0.00033970195874286535,0.0014316744182667587,Hypothetical
slr0769,10.195539508287752,0.0003417911184376395,0.0014361403922304432,Hypothetical
sll1356,10.182999834356249,0.00034400862486064454,0.0014406785764904282,Central intermediary metabolism
slr0076,10.177779030438248,0.00034493666275828175,0.0014406785764904282,Hypothetical
sll1294,10.162430204384677,0.0003476814782823025,0.0014478079468770507,Cellular processes
sll1058,10.097138465331662,0.00035963695309421936,0.0014931355641858216,Amino acid biosynthesis
slr0523,10.060290804964808,0.0003665889887326016,0.0015174826091453387,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll0554,10.05389232860514,0.00036781161299358217,0.0015180390536273585,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr1541,10.040652050435066,0.00037035624799971366,0.0015214536312856829,Hypothetical
slr1793,10.038248895240779,0.00037082023988324885,0.0015214536312856829,Energy metabolism
sll1340,9.995106882123986,0.0003792628155906687,0.0015515297001436447,Hypothetical
sll0781,9.974393390694518,0.0003833933951115688,0.0015638414800603466,Hypothetical
slr1710,9.966538150705404,0.0003849731362175767,0.0015657070700394152,Other categories
sll1530,9.933385188734176,0.00039172202690256183,0.0015885239172356792,Unknown
sll1568,9.848206150956116,0.00040968397211505625,0.001656548235073923,Cell envelope
slr1702,9.819440127001073,0.0004159589719375311,0.0016770600169157687,Hypothetical
slr0209,9.801619940824443,0.0004199007610483978,0.0016880736647334725,Unknown
slr0677,9.778252132189102,0.00042513385676095516,0.0017042003740848632,Transport and binding proteins
sll0379,9.73595229187526,0.0004347954009453127,0.0017379357716868515,Cell envelope
slr0172,9.728982638104881,0.0004364110242088306,0.0017394096536323394,Hypothetical
sll1178,9.680805145546039,0.00044776646715348516,0.0017757357159601075,Energy metabolism
sll1239,9.675512274087474,0.0004490342432725202,0.0017757357159601075,Unknown
slr1678,9.66442399867905,0.0004517033475826677,0.0017757357159601075,Translation
slr0156,9.661591616088671,0.0004523880160360329,0.0017757357159601075,Translation
slr0937,9.659394175684774,0.0004529200092465917,0.0017757357159601075,Unknown
slr1397,9.658392844196532,0.00045316266299770476,0.0017757357159601075,Unknown
slr1517,9.524045510104255,0.00048709350821346076,0.0019033485825147832,Amino acid biosynthesis
sll1920,9.5178724334067,0.0004887202755307116,0.0019043709060484434,Transport and binding proteins
slr0444,9.473489823433695,0.0005005988063364913,0.00194522377392592,Amino acid biosynthesis
sll1323,9.45262389087,0.0005062959328547085,0.0019618247149873888,Photosynthesis and respiration
slr0287,9.447581450340104,0.0005076836717637614,0.0019618247149873888,Hypothetical
sll1370,9.436648824707985,0.0005107072573151981,0.0019650645188764642,Energy metabolism
ssl2245,9.434372495707708,0.0005113393694280692,0.0019650645188764642,Unknown
slr1719,9.421735838774698,0.0005148645627592461,0.001973176002882276,Other categories
slr1720,9.415875122207881,0.0005165088241940322,0.0019740542732895197,Translation
slr0257,9.408937349626402,0.0005184629410379289,0.001976108750677352,Translation
slr0943,9.38570648147842,0.0005250673514709262,0.00199415183682598,Energy metabolism
sll1693,9.382257990169718,0.0005260558250551688,0.00199415183682598,Hypothetical
slr1177,9.374590357285307,0.0005282612212960848,0.0019970851048998327,Hypothetical
slr0417,9.311675589667836,0.0005467571601048414,0.002061422265800686,"DNA replication, restriction, modification, recombination, and repair"
sll0928,9.260461065042954,0.0005623550970728834,0.0021131948047846344,Photosynthesis and respiration
ssr1698,9.25670529859782,0.0005635186146092357,0.0021131948047846344,Hypothetical
slr0650,9.221962750200317,0.0005744117044293994,0.0021482689750107566,Hypothetical
slr1560,9.186499938915613,0.0005857768400442106,0.002184916288400197,Translation
slr2034,9.103086325814392,0.0006135256369179871,0.002282315369334911,Photosynthesis and respiration
slr0404,9.077102107841704,0.0006224710445605385,0.0023094337956434874,Hypothetical
slr1600,9.013829397210293,0.0006448768921587306,0.00238621555586586,Hypothetical
slr0244,8.98251370058614,0.0006563026221007367,0.0024220692006098623,Hypothetical
sll0886,8.971966498341668,0.0006602022257077487,0.002428431897186144,Hypothetical
sll0414,8.96504910099104,0.0006627740096123515,0.002428431897186144,Hypothetical
slr0228,8.963774446310154,0.0006632491418121296,0.002428431897186144,Cellular processes
slr1463,8.896579651190288,0.0006888501378897165,0.002515565294126059,Translation
slr0072,8.886902053214556,0.0006926285075954647,0.002518828324696313,Cellular processes
slr0676,8.882967488384375,0.0006941713523718169,0.002518828324696313,Amino acid biosynthesis
sll0915,8.880450146495098,0.0006951605053821368,0.002518828324696313,Other categories
sll1821,8.867681361059462,0.0007002024192179848,0.0025305242870701772,Translation
slr0376,8.855870542263881,0.0007049028999601065,0.0025409290579957327,Hypothetical
ssr1604,8.851151268372961,0.0007067910475862916,0.0025411688437703014,Translation
slr0950,8.828342621260306,0.0007159975965049265,0.0025676520491629113,Cellular processes
sll0149,8.801132130795464,0.000727158752134789,0.0026009909210975147,Hypothetical
sll1213,8.79484386676808,0.0007297659576221009,0.002603640692794964,Cell envelope
slr0357,8.761069734883662,0.0007439512906290556,0.0026474797204783995,Translation
slr0774,8.750277355839811,0.0007485496731483979,0.0026570656336946945,Cellular processes
sll0058,8.674629285327462,0.0007816984669100334,0.0027676887343642048,Cellular processes
slr0342,8.6302916730856,0.0008018969520854488,0.00283201581812456,Photosynthesis and respiration
slr0073,8.605538196306012,0.0008134299366331344,0.00286549182223036,Regulatory functions
sll0019,8.583818068169034,0.0008237042529677652,0.0028943764052645647,Other categories
sll0051,8.53872724490624,0.0008455054705501347,0.0029635179181342662,Hypothetical
slr1618,8.529902665265771,0.0008498480133812032,0.002971273129490673,Unknown
slr1645,8.485259000750705,0.0008722070307816193,0.003041822019850897,Photosynthesis and respiration
sll0224,8.45175119183816,0.0008894259393034547,0.0030941376192726165,Transport and binding proteins
slr1550,8.43365595754145,0.0008988842414614729,0.003119262479698395,Translation
sll1577,8.423084728300685,0.0009044623582722313,0.0031308312401731077,Photosynthesis and respiration
sll0195,8.404969100949067,0.000914112636518592,0.0031564037820382075,Translation
slr0597,8.394682621269382,0.0009196440634814804,0.0031676628853250987,"Purines, pyrimidines, nucleosides, and nucleotides"
sll0635,8.380506392303415,0.0009273292549835567,0.0031862667751282304,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr1756,8.370690878968691,0.0009326929507407572,0.0031968222758804827,Amino acid biosynthesis
slr1867,8.357344448312094,0.0009400424615805936,0.0032141157693748247,Amino acid biosynthesis
sll1809,8.288507575506728,0.000979003920429032,0.0033391454009743266,Translation
slr0585,8.259399057112084,0.000996025754040557,0.0033869097169510897,Amino acid biosynthesis
sll0408,8.256289670773024,0.0009978637230587085,0.0033869097169510897,Translation
slr0557,8.202208423510017,0.0010304524239342413,0.0034890318723016177,Translation
slr1535,8.192027050181329,0.0010367212080673253,0.003501758075675348,Hypothetical
sll1502,8.123032161854919,0.0010803555226088619,0.003636417052836247,Amino acid biosynthesis
slr0898,8.120799964059941,0.0010818014888365893,0.003636417052836247,Amino acid biosynthesis
slr1643,8.081809090160688,0.0011074149470483648,0.0037135669498376657,Photosynthesis and respiration
slr1934,8.053506731720967,0.0011264364061732654,0.0037682944523062477,Energy metabolism
slr0063,8.04785551064355,0.0011302785419252158,0.003772101832501617,Cellular processes
slr0105,8.025939702040827,0.0011453193017268426,0.003813175240832805,Hypothetical
slr2024,8.012906278159878,0.001154371286257636,0.0038341617722128627,Regulatory functions
slr0513,8.00320275299177,0.0011611630908224119,0.0038475594102072796,Transport and binding proteins
sll0982,7.970411189432119,0.0011844512691035368,0.003915425403790127,Unknown
sll1019,7.949871967552736,0.0011993066259049887,0.003955160149261133,Energy metabolism
slr1385,7.926200223788816,0.0012166893835708454,0.0040030228539653994,Unknown
slr0719,7.915416610531717,0.0012247023014010944,0.004019905201069474,Unknown
sll0034,7.897397389886745,0.0012382251532609048,0.004054751382157188,Other categories
sll0401,7.873480194942997,0.001256435575359964,0.004104748542452341,Energy metabolism
slr0362,7.862456207986923,0.0012649309083969259,0.004122847236480635,Hypothetical
ssr1528,7.842134957546972,0.001280761547620413,0.004164714123381063,Hypothetical
slr1330,7.824080041168193,0.0012950146396627845,0.004201268424022289,Photosynthesis and respiration
sll0504,7.804829378695343,0.0013104094247488596,0.004241348370126819,Amino acid biosynthesis
slr0626,7.799883474787331,0.0013143979825196476,0.0042444101518863625,Other categories
sll0221,7.773018459147003,0.0013363039400211176,0.00429863120728804,Transport and binding proteins
sll0728,7.7717457172427675,0.0013373519311562793,0.00429863120728804,"Fatty acid, phospholipid and sterol metabolism"
slr0293,7.758213770509903,0.0013485519021596937,0.004321989650765228,Energy metabolism
slr0869,7.755494401767828,0.0013508154033932901,0.004321989650765228,Hypothetical
sll1130,7.718391427492637,0.0013821312332208669,0.004412066522524277,Unknown
sll1343,7.6764258637420735,0.0014185438103688193,0.004517964875489733,Translation
sll1092,7.6669063784938025,0.0014269536725286,0.00453414378667935,Hypothetical
slr0608,7.663333953964362,0.0014301242051175012,0.00453414378667935,Amino acid biosynthesis
sll1435,7.654627698664317,0.0014378844022335411,0.0045484098437999785,Translation
sll1747,7.650506967649826,0.0014415739332009627,0.0045497638841976076,Amino acid biosynthesis
slr1839,7.630031622908777,0.0014600660163776814,0.004597724814552746,Photosynthesis and respiration
slr0743,7.583315911534399,0.001503268467029079,0.004723107007895417,Transcription
slr1616,7.577540660692215,0.001508708975963174,0.0047282981497906605,Unknown
ssl3436,7.574376015854804,0.0015116996235173005,0.0047282981497906605,Translation
slr0534,7.51509074101355,0.0015689817508652759,0.004896486672163444,Cell envelope
sll0088,7.495796659469215,0.0015881496306772585,0.0049452427115954795,Hypothetical
sll1945,7.452841868927371,0.0016317807861432757,0.005069786629554276,Other categories
slr1861,7.414726441100626,0.00167163250172218,0.005182060755338758,Transcription
sll0735,7.4039072027689405,0.0016831440433141525,0.005206177251492778,Hypothetical
sll0921,7.327269605036025,0.0017672965046948372,0.0054543774868347295,Regulatory functions
sll1499,7.307163572857496,0.001790153878638716,0.005512725520311277,Amino acid biosynthesis
sll0314,7.285623531396756,0.0018150126410932921,0.005558043630041772,Hypothetical
slr6050,7.283001160058168,0.001818065575144537,0.005558043630041772,Hypothetical
slr0930,7.280109556582544,0.001821438670094111,0.005558043630041772,Hypothetical
slr1718,7.277364511949577,0.0018246473418432896,0.005558043630041772,Hypothetical
slr1840,7.277241409431933,0.0018247913853470478,0.005558043630041772,Hypothetical
slr1900,7.270940741696715,0.0018321810358686613,0.005568393344306717,Hypothetical
slr1042,7.262851797802853,0.0018417176278099085,0.005585208893032222,Regulatory functions
slr1847,7.249866036615661,0.0018571448514927262,0.005618152284865158,Hypothetical
sll0757,7.246944802574038,0.001860635380363945,0.005618152284865158,"Purines, pyrimidines, nucleosides, and nucleotides"
sll1041,7.230454433670991,0.0018804788972590183,0.0056658057487609746,Transport and binding proteins
ssr3402,7.216823430737923,0.001897062129639075,0.0056925136317240955,Unknown
sll1852,7.214767311233463,0.0018995778710491175,0.0056925136317240955,"Purines, pyrimidines, nucleosides, and nucleotides"
slr2060,7.213128923118798,0.0019015851988411672,0.0056925136317240955,Hypothetical
slr0399,7.188173945053634,0.0019324576250165078,0.005772544725691711,Hypothetical
sll1338,7.1402996805632535,0.0019932815379968822,0.005941512276721474,Unknown
sll0216,7.12663280320517,0.0020110396951875864,0.0059816639121251245,Hypothetical
sll1380,7.12265111656596,0.0020162468777499853,0.005984392328640912,Hypothetical
sll0529,7.11636282997056,0.002024501626134182,0.005996135389505699,Hypothetical
slr1724,7.085326361111272,0.0020658067390629514,0.0060999195680762975,Hypothetical
slr1950,7.083484202192709,0.002068288140286802,0.0060999195680762975,Transport and binding proteins
sll0550,7.078346985786249,0.0020752258022534295,0.006107468342074966,Other categories
sll0145,7.038278930225436,0.002130247158142704,0.006256199548650678,Translation
slr1234,7.022494116723305,0.002152373516199412,0.006297614596540373,Regulatory functions
sll0086,7.021781950595906,0.0021533778943009017,0.006297614596540373,Other categories
sll1430,6.997088965656152,0.0021885321536484234,0.006387034214099478,"Purines, pyrimidines, nucleosides, and nucleotides"
slr0322,6.936828958920053,0.002277073797297023,0.006631561476470451,Regulatory functions
slr0288,6.909537592063988,0.0023184986967231913,0.006738136837351775,Amino acid biosynthesis
slr0592,6.861572003628779,0.0023933825017140907,0.006941306839690553,Hypothetical
slr1735,6.837600874791727,0.002431826566131502,0.0070381702484511345,Transport and binding proteins
sll0078,6.805546369321696,0.0024843282797049875,0.007175233851321859,Translation
sll1091,6.8005301144656265,0.0024926595481160442,0.007184421631450169,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr0302,6.7950068644264565,0.0025018693550125488,0.007196098454108258,Unknown
sll1582,6.745312200476317,0.002586482847142421,0.007424163727908802,Unknown
sll0422,6.716089252928724,0.0026377454704472423,0.0075557596124720796,Energy metabolism
sll0208,6.71263984038527,0.0026438716922014536,0.007557788956190631,Hypothetical
sll1104,6.708459453287098,0.0026513176692725443,0.007563574946084252,Transport and binding proteins
slr0661,6.666228210990153,0.00272788051442958,0.0077575381910781685,Amino acid biosynthesis
slr1986,6.664844487058464,0.002730431004888445,0.0077575381910781685,Photosynthesis and respiration
slr1452,6.653463952812192,0.002751510064237835,0.007801537682137764,Transport and binding proteins
slr1105,6.650391717498428,0.0027572318997265487,0.0078019036513560566,Translation
sll1382,6.6090070620248245,0.0028356312824884032,0.008007501293666645,Photosynthesis and respiration
slr1610,6.6040654428028,0.0028451596840794297,0.008018177291496575,Other categories
sll1388,6.581857989397452,0.002888428312853762,0.008123704629901207,Hypothetical
slr0049,6.571129811362176,0.0029095965150034513,0.008166774926418138,Hypothetical
sll1393,6.565907456533227,0.0029199642522500647,0.008167477410774837,Central intermediary metabolism
slr0303,6.565107307682613,0.002921556435825551,0.008167477410774837,Hypothetical
slr1655,6.540352476018272,0.002971302331840018,0.008288339426143458,Photosynthesis and respiration
ssr3341,6.53592565643834,0.0029802985723937103,0.008288339426143458,Hypothetical
slr0659,6.534788781467513,0.0029826139010208,0.008288339426143458,Translation
slr1984,6.530844390758957,0.002990662687864455,0.008294183796363647,Translation
sll5066,6.503408493964042,0.0030473302300074914,0.008434574743770734,Other categories
slr0845,6.481113111723184,0.003094273265891673,0.00854719241503077,Hypothetical
slr1127,6.476955295043178,0.0031031175263325304,0.00854719241503077,Unknown
sll0141,6.475416042048554,0.003106398963742366,0.00854719241503077,Hypothetical
slr0738,6.4506189407141665,0.0031598055309630967,0.008677025030892757,Amino acid biosynthesis
slr1140,6.416236106000374,0.003235579560415649,0.008851187417781979,Other categories
slr1270,6.416084590330852,0.0032359179806944875,0.008851187417781979,Hypothetical
slr1703,6.382950893952433,0.003310892534703567,0.009038542242488212,Translation
ssr3304,6.3643252331207565,0.003353897663357937,0.00913806101637563,Hypothetical
sll1545,6.360315682787143,0.003363237585966917,0.00914564606710302,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr0574,6.357303417270924,0.003370273714086645,0.009146949087842159,"Fatty acid, phospholipid and sterol metabolism"
ssl1326,6.354222351921631,0.0033774877271154397,0.009148728891895221,Unknown
slr1277,6.3357807944555775,0.003421032648574056,0.00923054539250815,Cellular processes
slr1874,6.334311532390517,0.003424529070327773,0.00923054539250815,Cell envelope
sll0381,6.3330463711694405,0.003427543020300518,0.00923054539250815,Hypothetical
sll0754,6.319891315210088,0.003459059770753554,0.00929747279422198,Translation
sll1108,6.315864931503294,0.003468771370633613,0.009305646273142095,Other categories
slr1364,6.288252186135557,0.0035362076509810984,0.009468348700803516,"Biosynthesis of cofactors, prosthetic groups, and carriers"
ssl2982,6.270277715951858,0.0035808993786680147,0.00956964489126797,Hypothetical
slr0940,6.258752461775688,0.00360989083565517,0.009628676320724594,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1053,6.2519505073080754,0.003627125125452918,0.00965618234734126,Hypothetical
slr1945,6.246996643885657,0.0036397352584744453,0.00967129654394638,Energy metabolism
slr2067,6.2286351589284505,0.003686907799259837,0.009762410370105359,Photosynthesis and respiration
slr0039,6.227533889452298,0.0036897589134814892,0.009762410370105359,Hypothetical
sll1561,6.2255043245355415,0.003695019839007619,0.009762410370105359,Energy metabolism
slr0665,6.220656956955308,0.003707619177228025,0.00977718100611171,Other categories
sll0643,6.208133525596671,0.003740395098279749,0.009840771544128893,Central intermediary metabolism
sll0585,6.206064272413,0.0037458420716361593,0.009840771544128893,Hypothetical
slr1128,6.198176318462878,0.003766688020884697,0.009876935693861187,Hypothetical
slr1842,6.193802392716953,0.0037783036062895288,0.00988880587387222,Amino acid biosynthesis
slr0965,6.186604006709709,0.003797507991032688,0.009920456268708987,"DNA replication, restriction, modification, recombination, and repair"
slr1508,6.1552419126791325,0.0038824725202870826,0.010110666808990271,Other categories
slr0114,6.1543881227342565,0.00388481534739698,0.010110666808990271,Unknown
sll0485,6.129589141031484,0.003953565099457972,0.010270434476245573,Regulatory functions
slr2131,6.126766721410884,0.0039614762149386825,0.010271857471820562,Transport and binding proteins
sll0166,6.122230431629896,0.0039742286552418345,0.010278514858444185,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr1859,6.120615422061646,0.0039787799452042005,0.010278514858444185,Transcription
slr1503,6.101128497991238,0.0040341621855173385,0.010402322086500344,Hypothetical
slr1835,6.096923236406162,0.00404622732298348,0.010414182870040506,Photosynthesis and respiration
sll1051,6.091516642906293,0.004061798967773366,0.0104350083978708,Photosynthesis and respiration
slr1881,6.070171496870643,0.004123938919372285,0.010575174250963852,Transport and binding proteins
slr1030,6.061583600391855,0.004149241763403891,0.010620536256786106,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1471,6.0527029486774735,0.004175591389980709,0.010668406573302362,Photosynthesis and respiration
sll1249,6.043161980958338,0.004204110636314661,0.010711156337463841,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr0709,6.0419729904653225,0.004207680052279702,0.010711156337463841,Hypothetical
sll1682,6.037517345623798,0.004221086569169043,0.010725711774118062,Energy metabolism
sll1812,6.018445420212934,0.00427901855649422,0.010834870111913144,Translation
slr6056,6.0157461488387645,0.004287289908843893,0.010834870111913144,Regulatory functions
slr1269,6.015727716475563,0.004287346452886062,0.010834870111913144,"Biosynthesis of cofactors, prosthetic groups, and carriers"
slr0201,5.98897726663584,0.00437030047616699,0.011024537367546024,Other categories
slr0543,5.952518753332889,0.004486288434397517,0.011296701021632737,Amino acid biosynthesis
slr1289,5.943004712623235,0.004517124227376748,0.011353852787730745,Energy metabolism
sll1123,5.92332456357974,0.00458167034364684,0.011495377930552771,Hypothetical
slr1239,5.881726211657878,0.004721552628582345,0.011825073459375892,"Biosynthesis of cofactors, prosthetic groups, and carriers"
ssr3383,5.871527727250703,0.0047565774145218575,0.011891443536304645,Photosynthesis and respiration
sll8049,5.849535833108616,0.0048331054167335035,0.01206114858022046,"DNA replication, restriction, modification, recombination, and repair"
sll0042,5.8439288399994735,0.004852838103682801,0.0120696755826346,Cellular processes
slr0075,5.84364865868308,0.0048538265246293975,0.0120696755826346,Transport and binding proteins
slr1219,5.833668911606575,0.004889181371376481,0.012135957318630231,Central intermediary metabolism
sll1641,5.827446635164548,0.004911371615536381,0.012152090694563831,Energy metabolism
slr2049,5.826962383965935,0.0049131033345763435,0.012152090694563831,Hypothetical
slr5051,5.819894526583207,0.004938456995761452,0.012193181432012791,Unknown
sll1481,5.808510659632617,0.004979603518452843,0.012273051074632007,Transport and binding proteins
sll1956,5.795912013078919,0.00502559178346917,0.012364551213297164,Hypothetical
sll1580,5.792533815389677,0.005038004294795225,0.012373267590210105,Photosynthesis and respiration
sll0680,5.759907956535348,0.005159675781335514,0.01261084447162834,Transport and binding proteins
slr5073,5.759619072931344,0.005160767799672003,0.01261084447162834,Unknown
ssl3445,5.75933068525229,0.005161858203082281,0.01261084447162834,Translation
sll1818,5.7357589635779656,0.005251867660587843,0.012808313612797276,Transcription
sll1669,5.730033922862242,0.005273994951668747,0.012839830641497213,Amino acid biosynthesis
sll0572,5.724912986541043,0.0052938764009596365,0.01286577975494546,Hypothetical
sll1135,5.722304412746128,0.0053040363410903095,0.012868053384036491,Unknown
sll0227,5.703398515250241,0.00537833152129035,0.01302564665312507,Translation
sll1667,5.69954982330062,0.0053935990755712045,0.013039983900211143,Hypothetical
sll0148,5.6906615617987075,0.0054290452681169405,0.013102972576164593,Hypothetical
sll1214,5.617947116757212,0.005729089223664535,0.013803246057015588,Hypothetical
slr1753,5.575964683281658,0.005910804811090189,0.014216504674949676,Hypothetical
slr0971,5.563455053173375,0.0059661998950342136,0.014325041056063213,Hypothetical
slr1808,5.529313101722712,0.006120386270304661,0.014669998019029212,Translation
slr0458,5.516345899889099,0.006180118454679595,0.014787761997046373,Unknown
sll0220,5.48807701288096,0.006312625635252882,0.01507896020749618,Central intermediary metabolism
sll1596,5.481171114204963,0.006345480513131421,0.015131530454390309,Other categories
slr0739,5.473748784921795,0.0063810071677578425,0.015168024118686048,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1950,5.473431550611856,0.006382530578973986,0.015168024118686048,Unknown
sll0374,5.413146723558191,0.006679603478235114,0.015847018456016982,Transport and binding proteins
slr2002,5.3796447855315925,0.006851406154323673,0.016227014576029753,Other categories
slr1734,5.356483873425623,0.0069730865890085215,0.016487213206215063,Energy metabolism
slr0609,5.353320616384251,0.006989893412737708,0.016498986989457027,Hypothetical
ssl0258,5.3364071901023555,0.0070805341059976485,0.01668470452342351,Hypothetical
sll5052,5.333246764510061,0.0070976174339685266,0.016696756020887174,Other categories
slr0634,5.3267977216754785,0.0071326211318909205,0.01675085265822868,Unknown
slr0165,5.316593542951051,0.007188404387518711,0.016853485916955634,Translation
slr0380,5.302808820358656,0.0072645428024077875,0.017003418136508158,Hypothetical
slr1919,5.2998114303372645,0.007281218444588191,0.017013902395645767,Hypothetical
sll0202,5.293452565973769,0.007316738111064549,0.017068310476480008,Cellular processes
slr1677,5.285145915588098,0.007363431945587948,0.017148560207170597,Hypothetical
slr0549,5.265534120366207,0.0074750114201637295,0.017379401551880672,Amino acid biosynthesis
sll1958,5.258494566403004,0.007515525390298294,0.01744038180753332,Amino acid biosynthesis
slr1020,5.256639349511937,0.007526243618734809,0.01744038180753332,"Fatty acid, phospholipid and sterol metabolism"
slr1056,5.2519674963601215,0.007553310810796371,0.017474077248857273,Unknown
sll1283,5.244910811671283,0.007594402885809363,0.017540053022688844,Other categories
slr1476,5.237632245072595,0.0076370507648465796,0.017609398044563598,"Purines, pyrimidines, nucleosides, and nucleotides"
ssl0601,5.226635249488848,0.00770199849667812,0.017729848024531314,Translation
slr1944,5.219083308862707,0.007746959843211853,0.017803968667677982,Hypothetical
slr1116,5.211154950936202,0.007794480289602331,0.017883717111834296,Hypothetical
slr0746,5.1978714019592855,0.007874835268733688,0.01803841576335549,Other categories
sll1296,5.177663886993885,0.007998868554956157,0.018275761825944783,Regulatory functions
sll1456,5.176730157213474,0.008004652670718466,0.018275761825944783,Unknown
slr1679,5.164747634042151,0.008079299248621424,0.01841604975788707,Hypothetical
sll0413,5.140006389868665,0.008235918947894607,0.018742425664458363,Hypothetical
sll1879,5.100248964508205,0.008494802382092671,0.019300080330650282,Regulatory functions
sll1665,5.095852975002859,0.008523984947383226,0.01933489268552781,Unknown
slr0387,5.0741564273347874,0.00866967822610708,0.019633443385421064,Amino acid biosynthesis
slr1603,5.0601990820074105,0.008764882297120222,0.019816873264963872,Hypothetical
slr0250,5.055961081684633,0.008794022310362264,0.019849897186544202,Hypothetical
sll0254,5.053941476652093,0.008807947210373378,0.019849897186544202,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll1172,5.051726656635959,0.008823246608720955,0.01985230486962215,Amino acid biosynthesis
slr0559,5.0424274145235115,0.008887810363560225,0.01996537110654833,Transport and binding proteins
slr0164,5.0034021324793185,0.009164614926007852,0.0205343336463356,Translation
slr1238,5.002582668631868,0.009170530366786438,0.0205343336463356,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll0518,4.987506822136225,0.00928012770857417,0.020737767678936283,Unknown
sll1810,4.986006559491832,0.009291114551494749,0.020737767678936283,Translation
sll1745,4.96932334445358,0.009414281129188141,0.020979108906098172,Translation
sll1455,4.937831410356539,0.009651811778202159,0.021474126683559837,Hypothetical
sll1594,4.932845522271296,0.009690032638590744,0.02152154462377989,Regulatory functions
slr1459,4.931031650768405,0.009703979618894302,0.02152154462377989,Photosynthesis and respiration
slr0816,4.900564713370041,0.009941647744755854,0.02201364857767368,Hypothetical
slr2123,4.897917918225838,0.00996260202920899,0.022025086895002443,Other categories
slr0983,4.894214104520502,0.009992007972781249,0.022038367829081532,Cell envelope
sll0821,4.893183757290943,0.010000205617067102,0.022038367829081532,Hypothetical
sll1085,4.854978226705389,0.010309580682669937,0.022642804630365145,"Fatty acid, phospholipid and sterol metabolism"
slr1273,4.8539406526886735,0.010318131360772514,0.022642804630365145,Hypothetical
slr1353,4.8533295575782915,0.01032317114330626,0.022642804630365145,Hypothetical
slr0835,4.8482853667206225,0.010364877092728876,0.0226703610445062,Regulatory functions
slr1884,4.847880014038707,0.010368236807451579,0.0226703610445062,Translation
sll0520,4.836536014573363,0.010462758390122373,0.022841233105196725,Photosynthesis and respiration
sll1434,4.81850783394627,0.010614973819887928,0.02313732574803697,Other categories
sll1760,4.801778957299757,0.010758448140765485,0.023413471382789156,Amino acid biosynthesis
slr0545,4.795092732556891,0.01081640073087355,0.023502926821757947,Hypothetical
sll0830,4.786492743913515,0.01089145725165756,0.023629211300252403,Translation
slr1223,4.782868074487479,0.010923266781612186,0.02366142416203261,Hypothetical
slr0338,4.779001098389434,0.010957317902957729,0.02369838523197834,Other categories
slr1189,4.772183596602387,0.011017641137276594,0.02379196499458336,Unknown
sll1628,4.76503761601785,0.011081271726347623,0.023892386488802063,Hypothetical
sll0902,4.760656962414213,0.011120482876072865,0.02393992841376797,Amino acid biosynthesis
sll1654,4.738348323808637,0.011322601214317022,0.024312898067403808,Hypothetical
slr0326,4.736306340658838,0.011341307013590969,0.024312898067403808,Hypothetical
sll1656,4.735316344424373,0.011350388472304594,0.024312898067403808,Hypothetical
slr0261,4.733894279027734,0.01136344769888694,0.024312898067403808,Photosynthesis and respiration
sll1030,4.729741629725876,0.011401679368953506,0.02435733954010741,Photosynthesis and respiration
slr1096,4.717915931940257,0.011511347623655835,0.024554021307339285,Energy metabolism
slr0900,4.709383525408675,0.011591210836054964,0.02468662460503309,"Biosynthesis of cofactors, prosthetic groups, and carriers"
sll0659,4.700774858944363,0.01167241920547009,0.024821684133583502,Hypothetical
sll0286,4.695674565854844,0.011720833343747126,0.024886700935353487,Hypothetical
